Number	Decade	Country	Source	File
30584008	1946	USA	Prince Matchabelli Magazine Advert	7a9a3fd7100d175f00498e60f8548a04.jpg
30584007	1946	USA	Rheingold Magazine Advert	4cb21e76cef5e55df96357fe0956c98b.jpg
30584006	1946	USA	McCall's Magazine Advert (detail)	3de5f30ae06e536b71b8c21a4d56069e.jpg
30584005	1946	USA	McCall's Magazine Advert	8008286771eefb40b48ef772a99711e0.jpg
30584004	1946	USA	Kodak Magazine Advert	1a23e0c817a9727006b3aa98270a3b8d.jpg
30584003	1946	USA	Chesterfield Magazine Advert	64da9a155563a0df71e2b6e1083ecf45.jpg
30584002	1946	USA	North Star Magazine Advert	f307bf58a4da2640386ddc45fad034c2.jpg
30584001	1946	USA	North Star Magazine Advert...	ea9adf026bca51c9e5d2f822181e7658.jpg
30584000	1946	USA	Rheingold Magazine Advert	a2106ef374693e319949cbcd035cf15e.jpg
30583999	1946	USA	Prince Matchabelli Magazine Advert	e07e917cc33c6d1c9b53db40e76ce1b5.jpg
30583998	1946	USA	Helena Rubinstein Magazine Advert	83a099f96553413dd8383f8c0c8bbbb5.jpg
30583997	1943	USA	Chesterfield Magazine Advert	e8cec8d60503dfded5fac8530effa98c.jpg
30583709	1911	USA	Kodak Catalogue Cover	e3f7bb7e8e636ba22fc59c67f2e4de24.jpg
30583708	1925	USA	Kodak Catalogue Cover	d3e46b37d41cdfaf228aaf45339ece4c.jpg
30583707	1911	USA	Kodak Magazine Advert	74163053c92a3f3931f691909e68e508.jpg
30583705	1925	USA	ICA Cameras Catalogue Cover	35e9e2a1b407600e59cafb9716137bf6.jpg
30583650	1960s	USA	Cartier Magazine Advert	2cc7fdcd7947bde1e9a6651f50679148.jpg
30583649	1953	USA	Cartier Magazine Advert	2fa018d509a52774e616cd6f6702a128.jpg
30583646	1954	USA	Cartier Magazine Advert	982efa59487e3c34db2ed15e7e195259.jpg
30583437	1977	USA	Christian Dior   Magazine Advert	240ebe5e8663f8f67685ee829c48a9ec.jpg
30583435	1984	USA	Ralph Lauren Magazine Advert	1ad45841c908daf3905daf7acef26ec7.jpg
30583431	1972	USA	Coats and Clark Magazine Advert	b9dce52f6ed03cbe38bfa13ddb6d0b0c.jpg
30583430	1994	USA	Joe Boxer Magazine Advert	3287fe0bb04be0de435deee2a206f7ce.jpg
30583427	1979	USA	Levi's Magazine Advert	698e16263c190b1d65d2a063ed5291a3.jpg
30583426	1939	USA	Hockanum Woolens Magazine Advert...	b596ed5cc71bbd50ad13dc3b6f098338.jpg
30583422	1988	USA	Jordache Magazine Advert	5a6f1953dce1e657a675b97ba23c90b2.jpg
30583421	1976	USA	Jesus Jeans Magazine Advert	39ae10a94b616cf49cb156853447c6e6.jpg
30583420	1989	USA	Gap Magazine Advert	9a232770bb6d0d1ad47cb2568f6def55.jpg
